"","ma","thuoc","ThuongMai","dvt","hoatchat","nhomBD","nhomdieutri","tondauky_sl","tondauky_thanhtien","nhaptrongky_sl","nhaptrongky_thanhtien","xuattrongky_sl","xuattrongky_thanhtien","toncuoiky_sl","toncuoiky_thanhtien","thang","nam"
"1","A.TA01","A.T Alugela 20% (12,38g) [Aluminum phosphat](Lô:0018099),Date 130920)'HSX:Nhà máy sản xuất Dược Phẩm An Thiên' 'NSX:Việt Nam","A.T Alugela","goi","aluminum_phosphat_12,38g",2,32,0,0,1872,1965600,1872,1965600,0,0,10,2018
"2","A.TA01","A.T Alugela 20% (12,38g) [Aluminum phosphat](Lô:0018100),Date 071020)'HSX:Nhà máy sản xuất Dược Phẩm An Thiên' 'NSX:Việt Nam","A.T Alugela","goi","aluminum_phosphat_12,38g",2,32,0,0,104,109200,104,109200,0,0,10,2018
"3","A.TE01","A.T Etoposide inj 100mg/5ml [Etoposid](Lô:0965002),Date 150420)'HSX:Công ty Cổ phần Dược phẩm An Thiên' 'NSX:Việt Nam","A.T Etoposide","lo","etoposid_100mg_5ml",2,18,0,0,300,27405000,0,0,300,27405000,7,2018
"4","A.TE01","A.T Etoposide inj 100mg/5ml [Etoposid](Lô:0965002),Date 150420)'HSX:Công ty Cổ phần Dược phẩm An Thiên' 'NSX:Việt Nam","A.T Etoposide","lo","etoposid_100mg_5ml",2,18,300,27405000,0,0,76,6942600,224,20462400,8,2018
"5","A.TE01","A.T Etoposide inj 100mg/5ml [Etoposid](Lô:0965002),Date 150420)'HSX:Công ty Cổ phần Dược phẩm An Thiên' 'NSX:Việt Nam","A.T Etoposide","lo","etoposid_100mg_5ml",2,18,224,20462400,0,0,51,4658850,173,15803550,9,2018
"6","A.TE01","A.T Etoposide inj 100mg/5ml [Etoposid](Lô:0965002),Date 150420)'HSX:Công ty Cổ phần Dược phẩm An Thiên' 'NSX:Việt Nam","A.T Etoposide","lo","etoposid_100mg_5ml",2,18,173,15803550,0,0,142,12971700,31,2831850,10,2018
"7","A.TE01","A.T Etoposide inj 100mg/5ml [Etoposid](Lô:0965002),Date 150420)'HSX:Công ty Cổ phần Dược phẩm An Thiên' 'NSX:Việt Nam","A.T Etoposide","lo","etoposid_100mg_5ml",2,18,31,2831850,0,0,31,2831850,0,0,11,2018
"8","A.T001","A.T Etoposide inj 100mg/5ml [Etoposid](Lô:0968002),Date 160420)'HSX:Công ty Cổ phần Dược phẩm An Thiên' 'NSX:Việt Nam","A.T Etoposide","lo","etoposid_100mg_5ml",2,18,88,8038800,0,0,87,7947450,1,91350,8,2018
"9","A.T001","A.T Etoposide inj 100mg/5ml [Etoposid](Lô:0968002),Date 160420)'HSX:Công ty Cổ phần Dược phẩm An Thiên' 'NSX:Việt Nam","A.T Etoposide","lo","etoposid_100mg_5ml",2,18,1,91350,0,0,1,91350,0,0,9,2018
"10","A.T001","A.T Etoposide inj 100mg/5ml [Etoposid](Lô:968002),Date 160420)'HSX:Công ty Cổ phần Dược phẩm An Thiên' 'NSX:Việt Nam","A.T Etoposide","lo","etoposid_100mg_5ml",2,18,18,1644300,150,13702500,80,7308000,88,8038800,7,2018
"11",NA,"abicin 250
 , 250mg,lọ (bidiphar 1,việt nam)","abicin","lo","amikacin_250",2,8,0,0,840,16758000,0,0,840,16758000,8,2014
"12",NA,"abicin 250
 , 250mg,lọ (bidiphar 1,việt nam)","abicin","lo","amikacin_250",2,8,840,16758000,2352,46922400,2655,52967250,537,10713150,9,2014
"13",NA,"abicin 250
 , 250mg,lọ (bidiphar 1,việt nam)","abicin","lo","amikacin_250",2,8,537,10713150,808,16119600,1038,20708100,307,6124650,10,2014
"14",NA,"abicin 250
 , 250mg,lọ (bidiphar 1,việt nam)","abicin","lo","amikacin_250",2,8,307,6124650,0,0,273,5446350,34,678300,11,2014
"15",NA,"abicin 250
 , 250mg,lọ (bidiphar 1,việt nam)","abicin","lo","amikacin_250",2,8,34,678300,0,0,34,678300,0,0,12,2014
"16","AbiT","abicin 250
 , 250mg,lọ (bidiphar 1,việt nam)","abicin","lo","amikacin_250",2,8,0,0,336,5877648,0,0,336,5877648,9,2015
"17","AbiT","abicin 250
 , 250mg,lọ (bidiphar 1,việt nam)","abicin","lo","amikacin_250",2,8,336,5877648,0,0,0,0,336,5877648,10,2015
"18","AbiT","abicin 250
 , 250mg,lọ (bidiphar 1,việt nam)","abicin","lo","amikacin_250",2,8,336,5877648,0,0,0,0,336,5877648,11,2015
"19","AbiT","abicin 250
 , 250mg,lọ (bidiphar 1,việt nam)","abicin","lo","amikacin_250",2,8,336,5877648,0,0,0,0,336,5877648,12,2015
"20","AbiT","abicin 250
 , 250mg,lọ (bidiphar 1,việt nam)","abicin","lo","amikacin_250",2,8,336,5877648,3,52479,2,34986,337,5895141,1,2016
"21","AbiT","abicin 250
 , 250mg,lọ (bidiphar 1,việt nam)","abicin","lo","amikacin_250",2,8,337,5895141,0,0,33,577269,304,5317872,2,2016
"22","AbiT","abicin 250
 , amikacin 250mg
 ,lọ (bidiphar 1,việt nam)","abicin","lo","amikacin_250",2,8,304,5317872,336,5877648,42,734706,598,10460814,3,2016
"23","AbiT","abicin 250
 , amikacin 250mg
 ,lọ (bidiphar 1,việt nam)","abicin","lo","amikacin_250",2,8,598,10460814,1176,20571768,1268,22181124,506,8851458,4,2016
"24","AbiT","abicin 250
 , amikacin 250mg
 ,lọ (bidiphar 1,việt nam)","abicin","lo","amikacin_250",2,8,506,8851458,152,2658936,658,11510394,0,0,5,2016
"25","AbiT","abicin 250
 , amikacin 250mg
 ,lọ (bidiphar 1,việt nam)","abicin","lo","amikacin_250",2,8,0,0,0,0,-1,-17493,1,17493,6,2016
"26","AbiT","abicin 250
 , amikacin 250mg
 ,lọ (bidiphar 1,việt nam)","abicin","lo","amikacin_250",2,8,1,17493,0,0,1,17493,0,0,7,2016
"27","AbiT1","abicin 250
 *_, 250mg,lọ (bidiphar,việt nam) 17006, 24/09/2020","abicin","lo","amikacin_250",2,8,0,0,5000,74445000,0,0,5000,74445000,4,2018
"28","AbiT1","abicin 250
 *_, 250mg,lọ (bidiphar,việt nam) 17006, 24/09/2020","abicin","lo","amikacin_250",2,8,5000,74445000,0,0,0,0,5000,74445000,5,2018
"29","AbiT1","abicin 250
 *_, 250mg,lọ (bidiphar,việt nam) 17006, 24/09/2020","abicin","lo","amikacin_250",2,8,5000,74445000,0,0,2826,42076314,2174,32368686,6,2018
"30","ABI001","Abicin 250mg [Amikacin*](Lô:17006),Date )'HSX:Công ty CP Dược-TTBYT Bình Định (Bidiphar)' 'NSX:Việt Nam","abicin","lo","amikacin_250",2,8,2174,32368686,0,0,2160,32160240,14,208446,7,2018
"31","ABI001","Abicin 250mg [Amikacin*](Lô:17006),Date )'HSX:Công ty CP Dược-TTBYT Bình Định (Bidiphar)' 'NSX:Việt Nam","abicin","lo","amikacin_250",2,8,14,208446,0,0,14,208446,0,0,8,2018
"32","ACEF01","Acefalgan 500mg [Paracetamol (acetaminophen)](Lô:),Date )'HSX:Công ty cổ phần Dược phẩm Euvipharm' 'NSX:Việt Nam","Acefalgan","vien_sui","paracetamol_500",2,2,1542,838848,4320,2350080,1312,713728,4550,2475200,12,2018
"33","ACEF01","Acefalgan 500mg [Paracetamol (acetaminophen)](Lô:3758050),Date 011021)'HSX:Công ty cổ phần Dược phẩm Euvipharm' 'NSX:Việt Nam","Acefalgan","vien_sui","paracetamol_500",2,2,0,0,2000,1088000,458,249152,1542,838848,11,2018
"34","ACEL01","Acellbia 100mg/10ml [Rituximab](Lô:),Date )'HSX:""BIOCAD"" Closed Joint Stock Company (""BIOCAD"" CJSC)' 'NSX:Nga","Acellbia","lo","rituximab_100mg_10ml",2,18,0,0,10,25200000,1,2520000,9,22680000,12,2018
