STT,MaSo,Thuoc,dvt,dongia,tondauky_sl,tondauky_thanhtien,nhaptrongky_sl,nhaptrongky_thanhtien,xuattrongky_sl,xuattrongky_thanhtien,toncuoiky_sl,toncuoiky_thanhtien,thang,nam,hoatchat_dvt
1,VAS001,"Vaseline Pure 10g [Vaseline](Lô:16005),Date 131019)'HSX:OPC' 'NSX:Việt Nam",tube,8685.6,23,199768.8,0,0,1,8685.6,22,191083.2,2,2019,
2,NUOC01,"Nước cất pha tiêm 0 [Nước cất pha tiêm](Lô:168181),Date 011221)'HSX:Công ty cổ phần dược phâm 3/2' 'NSX:Việt Nam",Ống,510,2000,1019991,0,0,1115,568644.98,885,451346.02,2,2019,
3,LIZO01,"Lizolid 600mg [Linezolid*](Lô:10180422),Date 200220)'HSX:Glenmark Pharmaceuticals Ltd.' 'NSX:India",Viên,18500,578,10693000,0,0,186,3441000,392,7252000,2,2019,
4,DIP0011,"Diprivan 10mg/ml [Propofol](Lô:),Date 011119)'HSX:Corden Pharma S.P.A' 'NSX:Italy",ống,118168,130,15361840,0,0,50,5908400,80,9453440,2,2019,
5,MID0011,"Midazolam - hameln 5mg/1ml [Midazolam](Lô:806069),Date 280221)'HSX:Hameln Pharmaceuticals GmbH' 'NSX:Germany",ống,18480,6,110880,0,0,6,110880,0,0,2,2019,
6,MID0011,"Midazolam - hameln 5mg/1ml [Midazolam](Lô:812071),Date 310321)'HSX:Hameln Pharmaceuticals GmbH' 'NSX:Germany",ống,18480,100,1848000,0,0,80,1478400,20,369600,2,2019,
7,MOR002,"Morphin 10mg/ml [Morphin (hydroclorid, sulfat)](Lô:50218),Date 020221)'HSX:Chi nhánh công ty  cổ phần dược phẩm trung ương Vidipha tai Bình Dương' 'NSX:Việt Nam",ống,6733.13,10,67331.25,0,0,0,0,10,67331.25,2,2019,
8,DIP0012,"Diprivan 10mg/ml [Propofol](Lô:PJ283),Date 010420)'HSX:Corden Pharma S.P.A' 'NSX:Italy",ống,118168,100,11816800,0,0,0,0,100,11816800,2,2019,
9,SEV0012,"Sevorane 100% v/v [Sevofluran](Lô:6080779),Date 010221)'HSX:Aesica Queenborough Limited' 'NSX:Anh",ml,14314.4,7000,100200800,0,0,0,0,7000,100200800,2,2019,
10,FEN001,"Fentanyl 2ml 50mcg/ml [Fentanyl](Lô:0087562),Date 300819)'HSX:Laboratorios IMA S.A.I.C.' 'NSX:UK",Ống,11210,27,302670,0,0,17,190570,10,112100,2,2019,
11,FEN002,"Fenilham 2ml 100mcg [Fentanyl](Lô:812075),Date 010320)'HSX:Hameln Pharmaceuticals GmbH' 'NSX:Germany",Ống,12990,97,1260030,0,0,0,0,97,1260030,2,2019,
12,LIDO01,"Lidocain Kabi 2ml 0.02 [Lidocain (hydroclorid)](Lô:86MHA036),Date 070821)'HSX:Công ty Cổ phần Fresenius Kabi Bidiphar' 'NSX:Việt Nam",Ống,413,605,249865,0,0,507,209391,98,40474,2,2019,
13,LIDO01,"Lidocain Kabi 2ml 0.02 [Lidocain (hydroclorid)](Lô:86MKA057),Date 261021)'HSX:Công ty Cổ phần Fresenius Kabi Bidiphar' 'NSX:Việt Nam",Ống,413,0,0,1000,413000,0,0,1000,413000,2,2019,
14,MIDA01,"Midazolam - hameln 5mg/1ml [Midazolam](Lô:830056),Date 310721)'HSX:Hameln Pharmaceutical GmbH' 'NSX:Đức",Ống,18480,500,9240000,0,0,5,92400,495,9147600,2,2019,
15,NUO001,"Nước oxy già 10 thể tích 3% [Nước oxy già](Lô:18016),Date 090321)'HSX:Chi nhánh công ty cổ phần dược phẩm OPC tại Bình Dương - Nhà máy dược phẩm OPC' 'NSX:Việt Nam",chai,1470,143,210210,0,0,32,47040,111,163170,2,2019,
16,DUN001,"Dung dịch sát khuẩn Microshield 2% 500ml(Lô:1069557),Date 310120)'HSX:Ensign Laboratories Pty. Ltd' 'NSX:Úc",chai,109157,65,7095205,0,0,21,2292297,44,4802908,2,2019,
